,ID,Choice,ReportedDuration,InVehicleTime,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,ModeToSchool,CoderegionCAR,age,Weight
14,70131064,0,16,14,1,0,48,34,0,9.6,1.56,22,2,0,1,0,3,0,2,1,1,1,2,0,1,1,5.5,30,4,1,1951,1,3,1,8,7000,4,2,2,1,2,2,1,0.0,2.24,3,4,3,3,3,4,3,3,3,4,3,3,4,3,4,4,4,2,4,2,4,4,3,4,4,4,2,2,4,4,3,4,4,3,4,4,3,3,3,3,3,4,4,4,3,3,3,4,2,3,3,-1,3,3,2,2,2,2,2,2,4,2,-1,2,2,4,8,14.0,4,8,59,0.00010913200000000001
15,54421189,0,77,34,10,2,59,22,3,13.6,2.71,28,2,0,2,0,4,0,2,2,1,1,2,0,2,2,4.0,16,6,1,1965,1,2,1,5,15000,3,1,2,2,2,2,1,6.8,3.88,4,4,3,3,4,5,4,2,6,5,4,4,4,3,4,6,3,1,5,3,4,2,3,2,2,2,4,2,4,3,2,1,2,3,4,3,2,1,3,4,4,2,4,4,4,3,3,4,2,2,4,2,3,4,3,2,2,2,4,4,2,1,1,2,2,3,6,27.0,5,6,45,0.000409116
16,30860712,1,150,106,1,9,250,112,32,23.2,5.22,76,1,0,1,1,4,0,1,1,1,1,1,0,1,1,5.0,6,4,1,1944,1,1,2,3,7000,3,1,2,2,2,2,1,11.6,7.48,2,3,2,2,3,5,4,2,2,3,3,2,2,2,4,3,4,2,4,3,4,2,2,4,4,2,2,2,4,3,2,2,2,2,2,2,2,2,2,4,2,4,4,4,3,2,2,4,2,3,2,4,4,4,-1,6,2,2,4,2,1,4,3,2,2,3,4,42.0,4,4,66,0.0003213
17,54201091,1,91,103,1,2,158,38,17,25.8,7.12,79,4,2,2,0,4,2,1,1,1,1,2,0,1,1,4.5,3,4,1,1971,1,3,1,6,7000,6,2,2,2,2,2,1,25.8,10.2,5,4,1,2,5,4,4,2,2,5,3,4,5,2,3,2,4,2,5,3,4,4,4,4,1,1,2,2,4,2,1,1,1,3,4,4,3,2,2,4,2,3,5,4,4,4,4,3,2,3,3,4,2,4,1,4,2,2,4,4,5,2,1,4,3,1,6,71.0,4,6,39,0.000258025
18,70130868,0,47,50,1,0,68,18,0,18.0,2.69,35,4,0,2,0,4,0,5,2,1,1,4,1,1,2,4.0,17,1,2,1992,1,6,8,8,2000,3,2,2,2,2,1,3,18.0,3.85,2,3,4,3,2,5,4,3,3,6,6,5,4,3,4,6,4,2,6,6,6,4,4,3,5,4,5,3,4,4,4,3,2,3,4,5,3,3,2,2,2,2,3,4,3,4,3,3,2,2,2,2,3,4,1,2,2,2,2,2,4,2,3,2,2,1,8,27.0,4,8,18,0.000548793
19,50760054,2,5,2,2,0,18,16,0,3.2,0.41,3,2,0,1,0,3,2,1,1,1,1,2,0,2,1,7.0,36,3,1,1940,1,2,9,3,5000,4,1,2,2,2,2,2,2.2,0.59,4,4,5,2,1,4,4,-1,4,4,3,4,4,2,4,5,4,2,1,2,2,4,4,2,2,1,4,4,5,3,5,4,4,3,4,4,2,2,2,4,2,4,4,6,3,2,2,4,2,4,4,2,4,4,1,7,1,2,4,4,5,1,-1,-1,-1,3,5,2.5,8,5,70,8.57e-05
20,30860644,1,20,42,9,2,55,6,7,34.0,1.56,23,1,0,1,0,0,0,0,1,2,1,1,-1,1,1,5.0,40,2,1,1939,1,1,9,6,3250,2,1,2,2,2,2,1,17.0,2.24,2,4,2,3,2,4,6,6,4,4,4,3,5,3,4,6,4,3,4,4,4,4,4,2,4,4,4,2,2,2,3,4,4,2,4,4,2,2,3,5,2,4,4,4,6,3,4,4,3,4,4,4,4,4,3,6,2,2,4,2,6,1,2,2,2,4,4,11.0,4,4,71,0.001285365
21,39120458,1,40,45,1,3,120,42,33,12.0,2.55,29,2,0,2,0,2,0,1,3,1,1,2,0,1,1,5.0,16,6,1,1952,1,3,1,3,15000,8,1,2,2,2,2,1,6.0,3.65,5,4,3,3,5,5,4,2,3,5,4,4,4,1,4,6,4,3,5,4,5,3,2,1,5,6,2,2,5,4,2,4,2,3,4,2,3,1,3,5,1,3,2,4,4,2,3,5,2,3,2,4,4,3,1,5,2,2,2,2,5,2,3,2,2,4,2,24.0,4,2,58,0.000160139
23,54260349,2,20,3,1,0,39,36,0,4.4,0.28,2,4,1,1,2,4,0,2,1,1,1,4,0,1,1,5.5,8,4,2,1970,1,3,2,6,7000,3,2,2,1,2,2,1,0.0,0.4,2,4,4,5,4,4,4,4,4,5,4,3,4,3,4,2,2,4,4,3,4,3,2,2,4,4,4,3,5,5,2,5,3,4,5,4,3,1,2,5,3,4,4,3,3,3,3,4,3,3,3,3,3,4,1,7,1,2,4,2,5,2,1,2,2,3,6,1.6,5,6,40,0.000367986
24,54421440,1,45,52,8,3,106,41,13,18.4,3.02,33,3,1,2,1,3,1,3,2,1,1,2,2,1,1,5.5,13,6,2,1967,1,3,2,6,15000,4,2,2,2,2,1,1,18.4,4.33,2,4,2,2,4,5,3,2,3,4,4,4,2,3,4,2,4,4,5,3,4,3,4,3,3,4,3,2,5,2,2,2,2,2,4,4,2,2,3,3,2,2,4,4,2,4,3,2,2,4,2,5,4,4,3,2,2,2,4,4,5,4,2,2,3,3,6,26.0,4,6,43,9.82e-05
25,50780314,1,15,28,1,1,60,21,11,7.0,1.46,17,5,0,3,1,3,0,5,1,1,1,5,1,1,1,6.0,29,6,1,1949,-1,4,1,1,15000,6,1,2,2,2,2,1,3.5,2.09,-1,-1,-1,2,3,5,2,1,6,4,3,5,4,3,3,2,4,3,5,2,3,4,6,4,3,6,6,1,4,6,2,6,3,3,3,2,3,1,2,5,4,2,4,4,4,6,6,4,3,6,3,4,4,2,1,7,1,2,4,4,5,1,1,2,2,4,5,15.0,3,5,61,0.00010913200000000001
26,96040495,1,35,54,4,3,106,43,9,12.6,2.77,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,12.6,3.97,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,8,1,2,3,2,-2,1,-2,-2,-2,-2,7,32.0,-2,7,-1,0.000378621
28,54260211,1,-1,57,8,2,97,24,16,21.4,1.54,22,4,2,3,0,5,2,2,0,1,1,1,0,2,2,5.0,12,3,1,1966,1,3,1,5,5000,3,2,2,2,2,2,1,21.4,2.21,2,3,3,3,3,5,2,4,4,3,2,5,5,1,3,1,5,3,5,3,4,4,4,2,2,6,4,3,3,2,1,6,4,4,2,3,2,2,2,4,4,3,3,4,5,3,2,5,2,3,1,4,5,2,3,7,1,2,4,2,5,1,2,3,-1,3,6,17.0,5,6,44,0.000409116
29,10540271,1,10,30,8,1,93,52,11,6.0,0.59,8,6,4,2,0,6,4,3,2,1,1,2,1,1,2,6.0,7,5,2,1975,2,3,2,4,9000,7,2,2,2,2,2,1,6.0,0.85,1,4,1,2,4,4,6,3,2,4,2,5,5,2,3,5,4,3,4,4,3,3,4,2,6,6,2,3,4,3,2,6,3,4,3,2,4,2,4,4,3,4,4,4,6,4,2,4,4,3,3,3,3,4,3,4,2,1,4,1,1,2,3,2,3,3,1,5.1,4,1,35,0.000340556
30,54540917,2,115,109,1,6,193,42,42,40.4,6.61,74,4,2,1,0,5,3,1,0,1,1,3,0,1,1,5.5,9,4,2,1965,1,3,2,6,7000,5,1,2,2,2,2,1,20.2,9.47,1,-1,-1,1,3,5,3,2,5,6,5,2,2,2,6,2,4,1,5,2,5,3,4,2,1,6,1,3,5,4,1,2,1,1,1,3,4,1,2,5,1,3,2,4,5,1,1,5,2,1,2,3,3,4,1,6,2,2,4,4,2,2,4,-1,-1,3,6,57.0,5,6,45,9.82e-05
32,92460616,0,75,63,3,4,149,26,60,8.4,1.95,28,5,1,2,1,7,1,3,2,1,1,4,1,1,2,4.0,20,4,1,1993,1,6,8,8,7000,1,2,1,2,2,2,3,0.0,2.79,1,4,3,2,1,4,3,1,1,5,3,5,4,1,3,1,4,2,5,3,3,3,1,3,5,3,5,5,3,4,3,5,5,3,3,3,4,1,1,5,3,4,5,4,3,3,3,4,2,4,2,4,4,4,1,8,1,2,4,2,5,2,3,2,2,1,7,20.0,3,7,17,0.004776402
33,54200162,2,35,17,9,0,53,36,0,7.6,1.33,18,3,0,1,0,3,0,3,0,1,1,4,1,1,1,6.0,20,6,1,1957,1,3,2,2,15000,7,1,2,2,2,2,2,3.8,1.91,5,5,1,1,4,5,3,1,2,5,5,1,1,1,1,1,1,1,5,1,5,3,4,1,5,2,1,1,5,4,2,1,1,2,4,1,2,1,1,5,2,2,3,3,4,1,1,5,1,2,1,3,2,2,3,4,2,2,4,4,5,2,4,1,2,3,6,10.0,3,6,53,0.000160139
34,90321110,0,436,294,2,3,337,43,0,136.8,37.01,260,2,0,1,0,4,0,4,4,1,1,2,2,1,1,5.0,2,6,1,1952,1,3,1,1,15000,8,1,2,2,2,2,1,68.4,53.04,5,5,1,1,5,5,3,1,1,6,5,3,1,1,5,1,3,1,4,1,5,3,1,2,4,4,4,2,4,5,1,5,5,3,5,1,3,2,3,3,1,1,5,5,2,3,4,4,3,2,3,4,5,4,2,2,2,2,2,3,6,2,4,-1,-1,4,7,408.0,3,7,58,0.000160139
36,47120924,1,60,19,11,6,489,78,392,19.2,5.22,49,1,0,1,0,1,0,1,0,1,1,0,0,2,2,3.0,7,4,2,1948,1,1,1,2,7000,6,1,2,2,2,2,1,9.6,7.48,5,5,1,1,5,5,4,3,4,5,4,4,5,3,4,6,2,1,2,2,4,5,3,2,5,2,2,1,5,5,1,2,2,1,6,2,4,1,1,5,3,2,2,3,1,4,1,5,1,3,2,4,5,4,3,7,1,2,3,3,5,2,1,2,1,1,5,55.0,-1,5,62,9.82e-05
37,42280369,0,138,128,1,4,181,28,25,23.4,7.68,92,4,2,0,0,3,1,1,0,1,2,0,0,1,1,4.0,5,3,2,1975,1,7,2,2,5000,7,1,2,2,1,2,2,11.7,11.01,5,5,1,2,5,5,3,4,4,6,3,3,5,2,5,4,3,1,6,6,6,4,6,2,5,5,1,1,5,-1,1,3,4,3,5,3,4,1,2,6,3,3,5,5,4,2,2,5,2,2,3,3,3,4,1,7,1,2,4,3,4,2,3,2,2,3,5,71.0,3,5,35,0.000340556
38,70130948,0,148,51,9,0,148,97,0,28.2,5.01,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,28.2,7.18,5,5,1,2,5,5,4,6,4,-1,4,3,2,1,5,1,4,1,4,1,4,3,4,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,7,-1,-1,-1,-1,8,50.7,-1,8,-1,0.000967286
39,50760456,1,28,46,1,2,125,54,25,28.6,3.03,25,3,0,4,3,5,0,4,2,1,1,3,0,1,1,5.0,7,5,2,1959,1,5,2,6,9000,3,1,2,2,2,2,1,14.3,4.34,3,3,3,3,3,4,5,2,3,2,3,3,-1,2,6,6,5,1,4,3,3,3,5,2,3,3,3,1,5,4,1,3,6,2,4,2,3,1,2,4,4,2,3,3,3,3,2,4,2,2,2,4,3,3,2,7,1,2,4,4,4,2,3,3,3,4,5,32.0,4,5,51,0.000367986
40,10540689,1,30,71,1,6,118,32,15,6.0,2.04,28,4,2,2,0,4,2,3,1,1,2,2,1,1,1,8.0,7,6,1,1972,2,3,1,3,15000,4,2,2,2,2,2,1,6.0,2.92,1,2,4,4,3,3,4,3,2,2,3,5,5,1,2,4,4,2,5,3,2,4,3,3,2,1,2,3,4,2,2,6,2,3,2,2,3,1,4,5,2,4,4,4,3,2,3,4,2,3,2,2,2,1,2,4,2,1,4,1,4,2,4,3,2,3,1,21.0,4,1,38,0.000258025
41,92460172,1,30,19,9,0,57,38,0,7.2,1.11,15,2,0,1,0,2,0,1,1,1,1,1,0,1,1,6.0,12,3,2,1952,1,3,2,6,5000,3,1,2,2,2,2,1,3.6,1.59,3,3,2,2,4,4,4,4,3,4,2,4,3,2,4,-1,4,1,4,2,4,2,4,2,4,3,4,4,4,4,1,2,2,1,3,4,3,-1,3,4,2,1,4,4,4,2,1,5,2,1,3,4,4,4,3,8,1,2,4,2,5,2,1,2,1,4,7,9.1,4,7,58,0.000367986
42,39120372,0,29,27,1,0,51,24,0,8.0,1.29,17,2,0,1,0,2,0,2,1,1,1,2,1,2,2,4.0,9,5,2,1976,1,-1,1,6,9000,3,1,2,2,2,2,2,4.0,1.85,2,3,2,2,4,5,4,3,3,4,3,2,4,2,4,3,4,2,4,4,4,2,4,2,5,4,4,2,5,5,2,5,4,3,5,4,4,2,3,4,4,3,4,4,4,3,3,4,2,2,3,4,3,4,1,5,2,2,2,2,5,2,3,2,3,2,2,12.0,4,2,34,0.00087004
43,42271065,1,35,41,1,2,58,15,2,12.5,3.1,40,1,0,1,0,1,0,1,1,1,2,1,0,2,2,4.5,6,3,2,1957,1,1,1,6,5000,4,1,2,2,2,2,1,6.25,4.44,3,4,3,2,4,4,4,3,2,4,4,3,4,3,4,3,4,3,4,4,3,4,4,3,2,2,3,4,4,2,2,3,4,3,3,4,3,3,3,4,3,2,2,4,4,3,3,4,2,3,2,4,4,4,1,7,1,2,4,3,5,1,2,-1,-1,3,5,28.0,3,5,53,9.82e-05
44,47120924,1,40,33,1,2,92,30,29,5.6,1.73,24,1,0,1,0,1,0,1,0,1,1,0,0,2,2,3.0,7,4,2,1948,1,1,1,2,7000,6,1,2,2,2,2,1,2.8,2.48,5,5,1,1,5,5,4,3,4,5,4,4,5,3,4,6,2,1,2,2,4,5,3,2,5,2,2,1,5,5,1,2,2,1,6,2,4,1,1,5,3,2,2,3,1,4,1,5,1,3,2,4,5,4,1,7,1,2,3,3,5,2,1,2,1,1,5,17.0,-1,5,62,9.82e-05
45,28000178,1,49,34,3,0,115,81,0,13.4,1.6,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,13.4,2.29,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,2,1,1,4,-1,6,-1,-1,-1,-1,3,9.6,-1,3,-1,0.000258025
47,28000352,1,180,178,10,3,229,11,40,69.2,20.97,170,2,-1,1,0,2,0,0,1,2,1,1,-1,-1,1,5.0,50,4,1,1933,2,2,9,3,7000,7,2,2,2,2,2,1,69.2,30.05,4,6,4,3,4,4,5,6,3,4,3,4,4,3,3,3,4,2,4,4,3,4,4,2,4,3,-1,3,2,2,3,-1,4,4,5,5,4,3,4,4,2,4,4,4,6,4,6,5,3,3,4,4,4,5,3,1,2,1,1,4,5,1,1,2,-1,4,3,231.0,-1,3,77,0.000125765
48,54440122,1,40,65,1,4,147,62,20,11.2,2.58,36,2,0,2,0,1,0,1,1,1,1,2,0,2,1,3.0,23,5,1,1947,1,2,1,6,9000,3,1,2,2,2,2,1,5.6,3.7,4,4,4,2,3,4,4,2,4,4,3,4,2,3,4,2,4,1,4,2,2,2,3,2,4,3,4,2,4,2,2,4,3,3,4,4,4,1,1,4,1,3,4,3,3,4,2,4,2,3,2,4,4,3,-1,7,1,2,4,4,5,3,1,2,2,1,6,26.4,4,6,63,0.000409116
49,54260060,0,125,86,1,4,142,36,20,21.2,4.34,72,2,0,1,0,0,0,2,1,1,1,2,1,1,1,6.0,24,6,1,1945,1,2,1,1,15000,8,1,2,2,2,2,2,10.6,6.22,4,3,2,3,4,5,3,2,3,5,3,4,4,3,3,3,4,3,3,3,4,4,2,2,4,2,4,3,4,2,2,2,3,2,4,2,3,2,2,4,3,2,4,3,3,3,3,3,2,2,3,3,4,4,1,7,1,2,4,2,5,2,1,2,2,4,6,46.0,4,6,65,0.000125765
50,28000460,0,203,145,1,6,219,57,17,61.6,16.93,177,2,0,1,0,0,0,3,1,1,1,2,2,2,2,4.0,1,6,2,1973,2,2,2,3,15000,7,2,2,1,2,2,2,0.0,24.26,4,5,2,3,4,4,2,4,4,4,2,3,4,1,5,6,5,1,2,1,5,2,2,1,5,5,4,1,5,2,1,1,2,4,5,2,3,2,1,2,2,2,1,3,2,1,1,4,1,5,2,4,5,4,2,1,2,1,1,4,5,3,4,1,1,3,3,180.5,3,3,37,0.000340556
51,19130206,1,50,50,9,0,118,68,0,24.2,3.28,33,2,0,2,0,0,0,0,1,2,1,1,0,1,1,4.0,5,2,1,1944,2,2,9,8,3250,3,2,2,2,2,2,1,24.2,4.7,2,2,4,1,1,1,6,6,4,5,1,3,2,1,5,6,6,1,5,5,5,5,6,6,6,6,4,1,6,1,5,6,1,2,5,4,6,1,1,5,1,4,4,4,6,1,1,5,6,4,4,3,1,5,3,8,1,1,2,4,1,3,4,2,2,3,2,32.0,4,2,66,0.0003213
52,90301035,1,30,38,7,0,92,54,0,4.4,2.11,25,2,0,1,0,1,0,1,1,1,1,1,0,2,1,4.5,15,3,1,1944,1,2,9,3,5000,8,1,2,2,2,2,1,2.2,3.02,4,3,2,2,4,4,6,6,2,5,3,4,4,2,4,6,4,1,5,2,4,4,4,3,2,1,4,2,4,2,1,1,3,4,4,3,3,1,1,4,2,4,4,3,6,2,3,4,2,2,3,3,4,4,3,2,2,2,2,3,3,2,3,2,2,3,7,17.5,5,7,66,0.000125765
53,10350271,1,23,30,4,2,117,62,25,8.6,1.46,20,2,3,2,-1,3,3,2,1,1,1,1,0,1,1,4.0,15,4,2,1971,2,3,2,6,7000,3,2,2,2,2,2,1,8.6,2.09,2,3,4,2,4,5,4,1,1,1,1,2,4,2,4,2,4,1,5,2,4,2,4,4,2,6,6,2,4,1,4,6,5,2,4,2,1,1,2,5,2,4,2,5,4,1,2,5,2,2,2,2,2,4,3,7,1,1,4,1,5,3,4,1,1,4,1,15.0,4,1,39,0.00087004
54,54540180,1,50,56,1,2,104,46,2,11.2,3.2,40,3,0,3,0,3,0,8,4,1,1,5,4,1,1,11.0,25,6,1,1985,1,6,1,3,15000,3,2,2,2,2,2,1,11.2,4.59,1,1,4,4,1,1,4,1,2,3,1,3,5,3,1,6,4,4,5,5,3,1,6,1,4,4,4,1,5,4,2,1,3,4,5,5,3,1,3,5,4,1,1,5,4,4,5,3,5,4,4,4,4,5,1,6,2,2,4,4,5,2,1,3,3,3,6,29.0,3,6,25,0.000967286
56,30860394,1,15,78,1,1,87,8,1,5.8,1.31,16,5,1,2,0,8,1,2,1,1,2,5,0,2,1,4.5,12,4,1,1963,1,3,1,3,7000,3,1,2,2,2,2,1,2.9,1.88,2,3,4,3,3,4,4,2,1,4,5,4,3,1,3,1,4,3,4,2,4,2,4,3,4,3,2,3,5,4,1,4,5,2,3,3,3,1,2,4,2,4,4,4,4,3,4,4,2,3,3,4,4,4,1,6,2,2,4,2,5,1,1,2,2,4,4,11.0,5,4,47,0.000409116
